<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	18:18:00	254.85	254.95	254.79	254.93	117	25005	1
2025.10.09	18:19:00	254.95	255.01	254.91	254.92	246	72581	1
2025.10.09	18:20:00	254.90	254.94	254.83	254.93	207	42832	1
2025.10.09	18:21:00	254.94	254.97	254.87	254.91	229	39136	1
2025.10.09	18:22:00	254.91	255.06	254.91	255.03	93	15804	1
2025.10.09	18:23:00	255.03	255.12	254.93	254.98	187	26736	1
2025.10.09	18:24:00	254.98	255.01	254.75	254.83	309	60255	1
2025.10.09	18:25:00	254.82	254.87	254.73	254.75	258	45341	1
2025.10.09	18:26:00	254.75	254.79	254.66	254.73	223	46701	1
2025.10.09	18:27:00	254.74	254.78	254.65	254.72	325	78406	1
2025.10.09	18:28:00	254.73	254.76	254.68	254.76	89	17025	1
2025.10.09	18:29:00	254.75	254.81	254.63	254.64	189	41451	1
2025.10.09	18:30:00	254.62	254.66	254.33	254.50	344	108532	1
2025.10.09	18:31:00	254.50	254.51	254.36	254.44	129	24111	1
2025.10.09	18:32:00	254.42	254.46	254.36	254.46	103	21665	1
2025.10.09	18:33:00	254.46	254.55	254.44	254.54	202	40113	1
2025.10.09	18:34:00	254.55	254.56	254.35	254.45	204	72444	1
2025.10.09	18:35:00	254.44	254.47	254.32	254.43	97	21877	1
2025.10.09	18:36:00	254.43	254.43	254.36	254.41	81	13344	1
2025.10.09	18:37:00	254.40	254.45	254.39	254.40	81	15860	1
2025.10.09	18:38:00	254.40	254.42	254.30	254.32	154	35024	1
2025.10.09	18:39:00	254.31	254.40	254.23	254.26	172	34253	1
2025.10.09	18:40:00	254.24	254.24	253.95	254.00	556	104748	1
2025.10.09	18:41:00	254.01	254.03	253.82	253.82	321	65397	1
2025.10.09	18:42:00	253.81	254.00	253.81	253.99	257	46294	1
2025.10.09	18:43:00	254.00	254.16	253.93	254.16	303	49098	1
2025.10.09	18:44:00	254.15	254.23	254.11	254.16	169	35355	1
2025.10.09	18:45:00	254.17	254.33	254.16	254.29	171	27436	1
2025.10.09	18:46:00	254.29	254.30	254.23	254.27	91	13982	1
2025.10.09	18:47:00	254.25	254.26	254.16	254.24	249	50528	1
2025.10.09	18:48:00	254.23	254.31	254.19	254.21	176	44832	1
2025.10.09	18:49:00	254.21	254.38	254.21	254.36	184	28124	1
2025.10.09	18:50:00	254.34	254.38	254.20	254.21	182	37196	1
2025.10.09	18:51:00	254.23	254.26	254.03	254.17	444	74767	1
2025.10.09	18:52:00	254.16	254.23	254.05	254.07	100	24918	1
2025.10.09	18:53:00	254.08	254.17	254.05	254.10	127	19090	1
2025.10.09	18:54:00	254.10	254.32	254.08	254.29	128	25173	1
2025.10.09	18:55:00	254.30	254.35	254.28	254.31	142	26527	1
2025.10.09	18:56:00	254.30	254.30	254.17	254.19	149	33110	1
2025.10.09	18:57:00	254.19	254.23	254.09	254.21	130	20976	1
2025.10.09	18:58:00	254.24	254.26	254.07	254.14	121	22537	1
2025.10.09	18:59:00	254.13	254.15	254.08	254.10	140	24037	1
2025.10.09	19:00:00	254.10	254.35	254.10	254.31	164	26118	1
2025.10.09	19:01:00	254.32	254.44	254.28	254.32	200	37360	1
2025.10.09	19:02:00	254.31	254.39	254.30	254.33	130	25199	1
2025.10.09	19:03:00	254.32	254.37	254.27	254.34	124	21949	1
2025.10.09	19:04:00	254.34	254.39	254.26	254.37	198	37435	1
2025.10.09	19:05:00	254.35	254.54	254.35	254.49	286	118707	1
2025.10.09	19:06:00	254.49	254.74	254.49	254.74	245	51632	1
2025.10.09	19:07:00	254.74	254.76	254.56	254.61	170	34108	1
2025.10.09	19:08:00	254.60	254.73	254.60	254.66	137	29254	1
2025.10.09	19:09:00	254.66	254.66	254.58	254.61	120	21923	1
2025.10.09	19:10:00	254.62	254.65	254.44	254.50	174	47670	1
2025.10.09	19:11:00	254.50	254.52	254.44	254.52	101	16247	1
2025.10.09	19:12:00	254.50	254.57	254.46	254.54	126	32152	1
2025.10.09	19:13:00	254.55	254.55	254.40	254.43	149	25596	1
2025.10.09	19:14:00	254.42	254.44	254.33	254.37	146	26063	1
2025.10.09	19:15:00	254.34	254.36	254.27	254.33	121	18020	1
2025.10.09	19:16:00	254.33	254.45	254.32	254.32	138	29426	1
2025.10.09	19:17:00	254.32	254.40	254.29	254.34	190	36114	1
2025.10.09	19:18:00	254.33	254.34	254.24	254.27	169	25612	1
2025.10.09	19:19:00	254.27	254.36	254.26	254.34	174	29510	1
2025.10.09	19:20:00	254.34	254.36	254.20	254.21	133	23470	1
2025.10.09	19:21:00	254.20	254.20	254.01	254.02	153	27332	1
2025.10.09	19:22:00	254.02	254.06	253.77	253.79	399	70737	1
2025.10.09	19:23:00	253.80	253.89	253.79	253.86	133	24120	1
2025.10.09	19:24:00	253.87	253.99	253.87	253.97	105	25484	1
2025.10.09	19:25:00	253.97	253.99	253.75	253.83	253	42586	1
2025.10.09	19:26:00	253.83	253.89	253.77	253.82	164	30261	1
2025.10.09	19:27:00	253.82	253.94	253.82	253.94	127	20460	1
2025.10.09	19:28:00	253.96	254.00	253.86	253.86	97	22766	1
2025.10.09	19:29:00	253.86	254.00	253.86	253.99	111	19185	1
2025.10.09	19:30:00	254.00	254.01	253.87	253.89	130	22905	1
2025.10.09	19:31:00	253.94	253.96	253.88	253.90	106	21531	1
2025.10.09	19:32:00	253.90	253.95	253.85	253.90	103	17806	1
2025.10.09	19:33:00	253.91	253.92	253.85	253.85	94	14294	1
2025.10.09	19:34:00	253.85	253.96	253.84	253.96	94	14623	1
2025.10.09	19:35:00	253.95	253.99	253.91	253.92	134	24948	1
2025.10.09	19:36:00	253.92	254.00	253.89	253.94	112	23183	1
2025.10.09	19:37:00	253.93	253.99	253.91	253.97	96	16884	1
2025.10.09	19:38:00	253.97	254.02	253.93	253.93	94	18324	1
2025.10.09	19:39:00	253.94	253.96	253.91	253.95	85	11928	1
2025.10.09	19:40:00	253.94	253.94	253.75	253.77	105	25656	1
2025.10.09	19:41:00	253.76	253.78	253.53	253.59	217	52838	1
2025.10.09	19:42:00	253.58	253.74	253.56	253.74	198	35494	1
2025.10.09	19:43:00	253.73	253.88	253.71	253.84	107	19617	1
2025.10.09	19:44:00	253.81	253.88	253.76	253.78	105	24238	1
2025.10.09	19:45:00	253.77	253.83	253.73	253.82	69	11574	1
2025.10.09	19:46:00	253.70	253.72	253.61	253.66	88	14789	1
2025.10.09	19:47:00	253.66	253.84	253.66	253.83	115	22222	1
2025.10.09	19:48:00	253.81	253.94	253.78	253.92	74	22603	1
2025.10.09	19:49:00	253.92	254.00	253.91	253.99	90	16899	1
2025.10.09	19:50:00	253.99	254.05	253.97	254.03	85	23238	1
2025.10.09	19:51:00	254.03	254.04	253.90	253.98	111	28356	1
2025.10.09	19:52:00	253.98	254.02	253.94	253.99	120	19038	1
2025.10.09	19:53:00	254.01	254.02	253.93	253.98	79	15162	1
2025.10.09	19:54:00	253.98	254.01	253.84	253.86	147	23706	1
