<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	22:15:00	731.14	731.14	730.56	730.75	49	7440	2
2025.10.09	22:16:00	730.69	731.08	730.57	730.87	23	4036	1
2025.10.09	22:17:00	730.98	731.35	730.92	731.11	33	9494	3
2025.10.09	22:18:00	731.10	731.46	731.10	731.40	12	2228	2
2025.10.09	22:19:00	731.49	731.65	731.30	731.52	33	6288	1
2025.10.09	22:20:00	731.39	731.54	731.38	731.39	35	4319	2
2025.10.09	22:21:00	731.47	731.60	731.26	731.26	30	4749	3
2025.10.09	22:22:00	731.30	731.36	731.06	731.06	23	4052	1
2025.10.09	22:23:00	731.19	731.61	731.19	731.50	16	6067	2
2025.10.09	22:24:00	731.52	731.87	731.51	731.82	19	5279	1
2025.10.09	22:25:00	731.85	731.99	731.76	731.85	35	8551	1
2025.10.09	22:26:00	731.86	731.99	731.78	731.79	37	5188	2
2025.10.09	22:27:00	731.84	732.09	731.71	731.96	30	7467	1
2025.10.09	22:28:00	732.00	732.04	731.55	731.73	54	8116	2
2025.10.09	22:29:00	731.95	732.01	731.77	731.89	33	3913	3
2025.10.09	22:30:00	731.84	732.00	731.71	731.81	22	4638	2
2025.10.09	22:31:00	731.71	731.95	731.67	731.81	27	7492	3
2025.10.09	22:32:00	731.87	731.99	731.74	731.77	35	6945	1
2025.10.09	22:33:00	731.82	732.04	731.82	731.91	38	7809	5
2025.10.09	22:34:00	731.98	732.29	731.88	732.16	135	24813	2
2025.10.09	22:35:00	732.16	732.61	732.07	732.61	102	16109	1
2025.10.09	22:36:00	732.70	733.00	732.60	732.88	108	16193	1
2025.10.09	22:37:00	732.91	732.91	732.57	732.65	75	9456	1
2025.10.09	22:38:00	732.71	733.49	732.71	733.46	79	12528	1
2025.10.09	22:39:00	733.48	733.48	732.91	733.22	94	14835	1
2025.10.09	22:40:00	733.21	733.38	733.07	733.12	50	6809	1
2025.10.09	22:41:00	733.18	733.31	733.05	733.13	45	7398	1
2025.10.09	22:42:00	733.16	733.30	733.07	733.27	46	5025	1
2025.10.09	22:43:00	733.35	733.46	733.11	733.40	80	11926	1
2025.10.09	22:44:00	733.39	733.45	732.81	732.99	58	9485	1
2025.10.09	22:45:00	733.13	733.13	732.61	732.90	65	10872	1
2025.10.09	22:46:00	732.84	732.86	732.54	732.58	33	10340	2
2025.10.09	22:47:00	732.76	732.98	732.18	732.40	51	7662	1
2025.10.09	22:48:00	732.19	732.25	731.86	732.01	75	10589	1
2025.10.09	22:49:00	731.93	731.94	731.55	731.70	47	10885	1
2025.10.09	22:50:00	732.00	733.00	731.95	732.00	89	15426	1
2025.10.09	22:51:00	732.03	732.64	731.88	732.59	76	10406	1
2025.10.09	22:52:00	732.50	732.92	732.44	732.74	73	9455	1
2025.10.09	22:53:00	732.75	732.76	732.22	732.41	129	20968	1
2025.10.09	22:54:00	732.44	733.50	732.17	733.19	84	12094	1
2025.10.09	22:55:00	733.18	733.43	732.84	732.91	165	26517	1
2025.10.09	22:56:00	732.91	733.37	732.91	733.35	138	20253	1
2025.10.09	22:57:00	733.36	733.51	733.08	733.14	279	37930	1
2025.10.09	22:58:00	733.09	733.39	733.09	733.34	257	29945	1
2025.10.09	22:59:00	733.35	733.51	732.86	733.51	477	67804	1
2025.10.09	23:00:00	733.51	733.51	733.51	733.51	288	910014	1
2025.10.10	16:30:00	730.71	735.27	730.29	734.88	437	161637	1
2025.10.10	16:31:00	734.98	735.27	732.67	733.84	134	20159	1
2025.10.10	16:32:00	733.40	733.71	731.33	731.72	119	67541	1
2025.10.10	16:33:00	731.81	732.10	728.41	728.75	222	43196	1
2025.10.10	16:34:00	728.42	730.98	727.70	730.94	182	30691	3
2025.10.10	16:35:00	730.95	732.67	730.95	731.93	119	16153	1
2025.10.10	16:36:00	731.97	732.02	730.86	731.23	106	14643	1
2025.10.10	16:37:00	730.78	732.44	730.35	732.31	126	23770	1
2025.10.10	16:38:00	732.38	732.45	731.16	731.48	77	10583	2
2025.10.10	16:39:00	731.74	732.46	730.84	732.23	64	14697	1
2025.10.10	16:40:00	732.17	732.58	730.75	731.10	127	20705	1
2025.10.10	16:41:00	730.96	732.07	730.84	732.06	77	9285	1
2025.10.10	16:42:00	731.87	732.39	731.52	732.03	74	12702	4
2025.10.10	16:43:00	731.90	732.33	731.22	732.01	68	8869	3
2025.10.10	16:44:00	731.96	732.12	730.69	730.87	77	12425	2
2025.10.10	16:45:00	730.99	731.82	730.86	731.82	69	11411	2
2025.10.10	16:46:00	731.89	733.29	731.79	732.75	80	17049	3
2025.10.10	16:47:00	732.48	732.89	731.81	732.15	76	12177	2
2025.10.10	16:48:00	732.06	732.06	730.50	731.39	91	18036	3
2025.10.10	16:49:00	731.27	732.22	731.27	731.50	83	15875	3
2025.10.10	16:50:00	731.30	732.05	730.15	730.54	83	12719	1
2025.10.10	16:51:00	730.61	730.61	729.26	730.31	125	15979	1
2025.10.10	16:52:00	730.34	731.00	730.01	730.19	63	9454	2
2025.10.10	16:53:00	730.20	730.60	730.00	730.39	80	10838	2
2025.10.10	16:54:00	730.39	731.23	729.88	730.06	62	10001	1
2025.10.10	16:55:00	730.26	731.06	730.01	730.94	57	9612	1
2025.10.10	16:56:00	731.15	731.70	731.00	731.36	86	11485	1
2025.10.10	16:57:00	731.36	731.36	730.82	730.91	68	13044	2
2025.10.10	16:58:00	730.94	731.67	730.94	731.26	94	35165	1
2025.10.10	16:59:00	731.35	731.49	730.56	731.00	86	13635	1
2025.10.10	17:00:00	730.99	732.80	730.99	732.24	88	15623	2
