<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	20:18:00	230.41	230.90	230.36	230.86	730	202301	1
2025.10.09	20:19:00	230.86	230.90	230.55	230.76	360	91036	1
2025.10.09	20:20:00	230.75	231.76	230.71	231.60	583	178994	1
2025.10.09	20:21:00	231.56	231.60	230.71	230.78	507	128826	1
2025.10.09	20:22:00	230.83	230.86	230.54	230.60	357	87750	1
2025.10.09	20:23:00	230.60	230.90	230.50	230.59	309	82478	1
2025.10.09	20:24:00	230.59	230.72	230.42	230.63	367	92072	1
2025.10.09	20:25:00	230.64	230.78	230.52	230.59	391	92252	1
2025.10.09	20:26:00	230.59	230.69	230.14	230.19	498	114698	1
2025.10.09	20:27:00	230.17	230.26	229.62	229.72	1104	289646	1
2025.10.09	20:28:00	229.74	230.05	229.73	230.01	570	154183	1
2025.10.09	20:29:00	230.01	230.35	229.92	230.30	605	159268	1
2025.10.09	20:30:00	230.34	230.37	229.93	230.21	475	127416	1
2025.10.09	20:31:00	230.23	230.60	230.21	230.38	456	128629	1
2025.10.09	20:32:00	230.39	230.56	230.27	230.36	356	85852	1
2025.10.09	20:33:00	230.35	230.43	230.09	230.22	277	68540	1
2025.10.09	20:34:00	230.23	230.45	230.07	230.39	381	114459	1
2025.10.09	20:35:00	230.41	230.41	229.92	230.04	341	88134	1
2025.10.09	20:36:00	230.01	230.81	230.01	230.72	471	119316	1
2025.10.09	20:37:00	230.72	231.08	230.66	230.90	590	199057	1
2025.10.09	20:38:00	230.96	230.98	230.65	230.78	310	92402	1
2025.10.09	20:39:00	230.79	230.83	230.63	230.74	298	70778	1
2025.10.09	20:40:00	230.70	230.98	230.67	230.93	318	73692	1
2025.10.09	20:41:00	230.93	230.95	230.35	230.38	420	111495	1
2025.10.09	20:42:00	230.40	230.53	229.91	229.91	495	142715	1
2025.10.09	20:43:00	229.91	229.99	229.53	229.66	757	205784	1
2025.10.09	20:44:00	229.69	230.19	229.66	230.12	492	119656	1
2025.10.09	20:45:00	230.07	230.20	229.93	230.09	341	81064	1
2025.10.09	20:46:00	230.12	230.50	230.03	230.45	330	92749	1
2025.10.09	20:47:00	230.46	230.77	230.32	230.68	374	110486	1
2025.10.09	20:48:00	230.66	230.77	230.51	230.77	202	66016	1
2025.10.09	20:49:00	230.79	231.04	230.78	230.91	326	85669	1
2025.10.09	20:50:00	230.93	231.02	230.77	230.88	299	81050	1
2025.10.09	20:51:00	230.88	231.08	230.76	230.91	270	71143	1
2025.10.09	20:52:00	230.95	231.05	230.64	230.96	241	52687	1
2025.10.09	20:53:00	230.92	230.97	230.70	230.88	195	41717	1
2025.10.09	20:54:00	230.87	230.97	230.68	230.87	153	33872	1
2025.10.09	20:55:00	230.84	231.41	230.71	231.25	494	120180	1
2025.10.09	20:56:00	231.25	231.27	230.85	231.12	358	93081	1
2025.10.09	20:57:00	231.10	231.19	231.02	231.15	214	52863	1
2025.10.09	20:58:00	231.20	231.30	231.07	231.23	237	69056	1
2025.10.09	20:59:00	231.24	231.67	231.24	231.58	435	126664	1
2025.10.09	21:00:00	231.58	231.68	231.23	231.46	522	131479	1
2025.10.09	21:01:00	231.43	231.65	231.29	231.37	340	104656	1
2025.10.09	21:02:00	231.35	231.52	231.17	231.35	331	109411	1
2025.10.09	21:03:00	231.32	231.41	231.02	231.19	256	56243	1
2025.10.09	21:04:00	231.19	231.31	231.04	231.29	287	62571	1
2025.10.09	21:05:00	231.25	231.55	231.25	231.33	368	100118	1
