<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	17:40:00	222.15	222.38	222.07	222.36	291	54857	1
2025.10.09	17:41:00	222.37	222.40	222.07	222.08	367	72650	1
2025.10.09	17:42:00	222.09	222.29	222.07	222.28	325	78461	1
2025.10.09	17:43:00	222.28	222.32	222.19	222.29	170	41216	1
2025.10.09	17:44:00	222.29	222.30	222.12	222.12	164	55882	1
2025.10.09	17:45:00	222.13	222.20	222.00	222.14	331	56675	1
2025.10.09	17:46:00	222.15	222.41	222.13	222.30	267	56581	1
2025.10.09	17:47:00	222.31	222.34	222.20	222.20	184	33246	1
2025.10.09	17:48:00	222.22	222.23	222.11	222.21	204	46134	1
2025.10.09	17:49:00	222.21	222.35	222.15	222.30	195	45277	1
2025.10.09	17:50:00	222.30	222.31	222.17	222.20	170	26412	1
2025.10.09	17:51:00	222.19	222.27	222.15	222.22	158	30150	1
2025.10.09	17:52:00	222.23	222.29	222.13	222.15	180	34399	1
2025.10.09	17:53:00	222.15	222.28	222.08	222.27	183	36071	1
2025.10.09	17:54:00	222.28	222.37	222.24	222.35	146	24098	1
2025.10.09	17:55:00	222.35	222.46	222.34	222.43	250	54136	1
2025.10.09	17:56:00	222.45	222.57	222.39	222.56	286	53889	1
2025.10.09	17:57:00	222.56	222.66	222.55	222.66	217	48728	1
2025.10.09	17:58:00	222.65	222.71	222.58	222.63	185	39630	1
2025.10.09	17:59:00	222.62	222.64	222.54	222.57	228	32574	1
2025.10.09	18:00:00	222.57	222.69	222.47	222.68	184	34240	1
2025.10.09	18:01:00	222.68	222.71	222.63	222.68	187	33889	1
2025.10.09	18:02:00	222.67	222.68	222.48	222.53	203	45391	1
2025.10.09	18:03:00	222.54	222.64	222.53	222.61	161	31849	1
2025.10.09	18:04:00	222.61	222.77	222.58	222.77	226	53813	1
2025.10.09	18:05:00	222.76	222.80	222.68	222.74	267	47605	1
2025.10.09	18:06:00	222.73	222.77	222.67	222.76	123	21316	1
2025.10.09	18:07:00	222.77	222.90	222.75	222.83	242	61607	1
2025.10.09	18:08:00	222.82	222.97	222.82	222.92	259	61993	1
2025.10.09	18:09:00	222.95	222.98	222.92	222.97	182	31808	1
2025.10.09	18:10:00	222.96	223.00	222.90	222.91	269	53946	1
2025.10.09	18:11:00	222.92	222.96	222.86	222.86	203	51880	1
2025.10.09	18:12:00	222.86	222.95	222.86	222.94	178	34187	1
2025.10.09	18:13:00	222.94	222.94	222.86	222.87	161	36929	1
2025.10.09	18:14:00	222.88	222.92	222.86	222.89	180	28042	1
2025.10.09	18:15:00	222.88	222.92	222.80	222.88	300	60140	1
2025.10.09	18:16:00	222.88	222.94	222.79	222.82	193	30745	1
2025.10.09	18:17:00	222.82	222.93	222.77	222.78	296	47572	1
2025.10.09	18:18:00	222.78	222.87	222.66	222.78	343	59363	1
2025.10.09	18:19:00	222.77	222.91	222.72	222.72	195	37251	1
2025.10.09	18:20:00	222.72	222.92	222.72	222.89	187	32569	1
2025.10.09	18:21:00	222.89	222.90	222.69	222.78	208	43143	1
2025.10.09	18:22:00	222.79	222.86	222.77	222.80	158	29893	1
2025.10.09	18:23:00	222.78	223.08	222.78	223.04	212	53479	1
2025.10.09	18:24:00	223.03	223.15	223.02	223.14	249	41901	1
